8	9	0.0698
10	11	0.0001
16	17	0.3429
18	19	0.1512
32	33	0.1961
34	35	0.2143
38	39	0.1444
44	45	0.0231
46	47	0.0005
48	49	0.0625
54	55	0.3908
56	57	0.0002
58	59	0.0505
60	61	0.2500
62	63	0.1250
68	69	0.0001
70	71	0.0228
74	75	0.4142
76	77	0.0883
78	79	0.2012
80	81	0.0410
84	85	0.1429
86	87	0.0550
90	91	0.0786
96	97	0.1626
101	102	0.0030
105	106	0.0020
109	110	0.1436
113	114	0.1055
120	121	0.1021
124	125	0.0436
126	127	0.0156
132	133	0.5000
134	135	0.0548
136	137	0.0022
138	139	0.1446
152	153	0.0072
154	155	0.1533
160	161	0.0141
168	169	0.0001
170	171	0.3333
172	173	0.4027
174	175	0.3482
176	177	0.0052
182	183	0.0092
186	187	0.0328
195	196	0.0200
210	211	0.0560
212	213	0.0540
219	220	0.0671
221	222	0.2526
223	224	0.0428
225	226	0.2609
227	14	0.0215
232	233	0.2398
234	235	0.0184
237	238	0.2539
241	242	0.1425
248	249	0.0014
250	251	0.1667
256	257	0.0599
262	263	0.0014
266	39	0.5211
267	268	0.0417
271	272	0.0011
273	274	0.0813
276	95	0.4210
287	288	0.0262
289	290	0.1754
304	305	0.0197
306	307	0.0471
316	317	0.1529
318	151	0.0177
327	328	0.0740
82	331	0.0003
332	333	0.0145
340	341	0.0393
344	345	0.0674
346	347	0.0458
348	349	0.0312
350	351	0.0167
352	353	0.0077
356	357	0.0469
362	363	0.1026
364	365	0.1667
79	366	0.1667
371	372	0.0062
375	376	0.0581
377	268	0.0278
378	205	0.0417
392	393	0.0714
398	366	0.0884
401	402	0.0371
413	414	0.2500
417	418	0.0345
419	420	0.2500
36	423	0.2000
430	431	0.0563
432	433	0.0002
437	438	0.0678
439	440	0.0001
447	448	0.1296
449	450	0.6806
452	453	0.0208
454	455	0.0106
458	459	0.1173
460	461	0.3287
469	470	0.0690
471	472	0.1263
476	477	0.0389
480	481	0.0286
486	487	0.0181
488	489	0.0476
490	491	0.0153
498	499	0.2000
500	501	0.0326
502	129	0.0860
506	507	0.0016
510	511	0.0168
516	517	0.0049
518	519	0.0811
522	523	0.0749
534	535	0.0069
536	537	0.0953
538	539	0.0204
540	541	0.0009
542	543	0.0102
546	547	0.0294
554	555	0.1429
556	69	0.0002
559	560	0.0016
561	69	0.0024
562	563	0.4911
565	566	0.0780
569	69	0.0021
570	571	0.0698
572	573	0.0152
577	578	0.3264
579	534	0.0039
402	95	0.2712
584	585	0.4920
598	599	0.5000
600	601	0.3333
602	603	0.0703
606	63	0.0721
609	610	0.3050
611	612	0.0055
613	614	0.0188
622	623	0.4958
624	625	0.1111
626	551	0.1815
40	627	0.1261
633	634	0.4625
636	637	0.0121
646	647	0.1978
650	79	0.0005
655	656	0.7779
661	662	0.2428
663	664	0.6667
668	669	0.1372
670	671	0.6733
673	674	0.0833
428	681	0.1745
684	685	0.0138
686	687	0.4032
693	694	0.1667
698	699	0.1224
711	712	0.4667
713	714	0.0153
715	716	0.0005
717	718	0.2151
721	594	0.1028
734	735	0.1725
743	744	0.1305
745	746	0.0031
751	752	0.0053
753	754	0.3781
95	757	0.0002
608	759	0.5981
760	761	0.0985
763	764	0.2046
767	768	0.1529
772	773	0.0267
776	777	0.0301
781	19	0.0817
786	157	0.0010
789	790	0.1732
793	794	0.0098
795	796	0.0090
803	804	0.0448
806	807	0.0800
810	811	0.0667
813	814	0.2807
817	818	0.0185
824	69	0.0010
828	69	0.3324
587	833	0.0467
834	245	0.0755
837	838	0.1431
476	841	0.0018
842	343	0.1064
843	844	0.0004
851	852	0.0062
855	145	0.0675
861	862	0.0635
866	867	0.0909
868	869	0.0284
871	872	0.0085
874	875	0.0160
877	878	0.1310
879	880	0.0145
884	885	0.5605
745	145	0.0005
888	889	0.0333
890	149	0.0242
892	151	0.5000
893	894	0.0285
895	896	0.7438
900	901	0.0414
909	137	0.4710
910	911	0.0002
912	69	0.5563
913	914	0.0101
73	535	0.0012
923	1	0.0292
925	926	0.0001
927	928	0.3979
929	742	0.0004
930	931	0.0106
932	933	0.1291
934	935	0.3029
938	939	0.0035
942	943	0.0001
944	945	0.2475
946	906	0.0270
949	950	0.1203
951	935	0.5714
954	955	0.2297
